    1   24   29    1    1     /HYDROGEN           /SUMMERS ET AL 1996
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69897  -0.52288  -0.30103  -0.15490   0.00000   0.17609   0.30103   0.47712
   0.69897   0.84510   1.00000   1.17609   1.30103   1.47712   1.69897   1.84510
   2.00000   2.17609   2.30103   2.47712   2.69897   2.84510   3.00000   3.17609
   3.30103   3.47712   3.69897   3.84510   4.00000
---------------------/ IPRT= 1  / IGRD= 1  /--------/ Z1= 1   / DATE= 09/01/13  
 -37.63030 -37.61195 -37.59068 -37.55754 -37.52815 -37.49457 -37.44354 -37.39940
 -37.34953 -37.27276 -37.20452 -37.12531 -36.99950 -36.88485 -36.74898 -36.52609
 -36.31962 -36.08273 -35.73103 -35.44171 -35.13830 -34.72835 -34.42190 -34.12573
 -27.80357 -27.78800 -27.76998 -27.74198 -27.71724 -27.68924 -27.64715 -27.61107
 -27.57065 -27.50907 -27.45492 -27.39263 -27.29458 -27.20563 -27.10005 -26.92666
 -26.76609 -26.58040 -26.29680 -26.05541 -25.79665 -25.43789 -25.15947 -24.88017
 -19.94656 -19.93376 -19.91894 -19.89591 -19.87560 -19.85277 -19.81868 -19.78966
 -19.75734 -19.70859 -19.66617 -19.61783 -19.54276 -19.47570 -19.39765 -19.27352
 -19.16183 -19.03344 -18.83340 -18.65951 -18.47074 -18.19841 -17.97108 -17.72835
 -16.58151 -16.57016 -16.55702 -16.53656 -16.51852 -16.49827 -16.46810 -16.44244
 -16.41392 -16.37099 -16.33370 -16.29128 -16.22560 -16.16735 -16.10039 -15.99626
 -15.90475 -15.80061 -15.63880 -15.49910 -15.34699 -15.11963 -14.92126 -14.70616
 -14.05938 -14.04931 -14.03764 -14.01942 -14.00335 -13.98530 -13.95842 -13.93555
 -13.91014 -13.87185 -13.83855 -13.80060 -13.74188 -13.69015 -13.63140 -13.54198
 -13.46515 -13.37858 -13.24575 -13.13291 -13.00923 -12.81763 -12.64697 -12.46581
 -12.03632 -12.02866 -12.01973 -12.00566 -11.99315 -11.97903 -11.95783 -11.93966
 -11.91934 -11.88847 -11.86137 -11.83026 -11.78189 -11.73929 -11.69112 -11.61844
